Chimaeriformes,Batoidea,Squalimorph Sharks,Gaelomorph Sharks
,Dasyatis laosensis,Squalus notocaudatus,Cirrhoscyllium formosanum
,Dasyatis lata,Squalus quasimodo,Cirrhoscyllium japonicum
,Dasyatis longa,Squalus rancureli,Ctenacis fehlmanni
,Dasyatis margarita,Squalus raoulensis,Eridacnis barbouri
,Dasyatis margaritella,Squalus suckleyi,Eridacnis radcliffei
,Dasyatis marianae,Squatina aculeata,Eridacnis sinuans
,Dasyatis marmorata,Squatina africana,Eucrossorhinus dasypogon
,Dasyatis matsubarai,Squatina albipunctata,Eusphyra blochii
,Dasyatis microps,Squatina argentina,Figaro boardmani
,Dasyatis multispinosa,Squatina armata,Figaro striatus
,Dasyatis navarrae,Squatina australis,Furgaleus macki
,Dasyatis parvonigra,Squatina caillieti,Galeocerdo cuvier
,Dasyatis pastinaca,Squatina californica,Galeorhinus galeus
,Dasyatis rudis,Squatina david,Galeus antillensis
,Dasyatis sabina,Squatina dumeril,Galeus arae
,Dasyatis say,Squatina formosa,Galeus atlanticus
,Dasyatis sinensis,Squatina guggenheim,Galeus cadenati
,Dasyatis thetidis,Squatina japonica,Galeus corriganae
,Dasyatis tortonesei,Squatina legnota,Galeus eastmani
,Dasyatis ushiei,Squatina nebulosa,Galeus gracilis
,Dasyatis zugei,Squatina occulta,Galeus longirostris
,Dentiraja flindersi,Squatina oculata,Galeus melastomus
,Dentiraja lemprieri,Squatina pseudocellata,Galeus mincaronei
,Diplobatis colombiensis,Squatina squatina,Galeus murinus
,Diplobatis guamachensis,Squatina tergocellata,Galeus nipponensis
,Diplobatis ommata,Squatina tergocellatoides,Galeus piperatus
,Diplobatis pictus,Trigonognathus kabeyai,Galeus polli
,Dipturus acrobelus,Zameus ichiharai,Galeus priapus
,Dipturus amphispinus,Zameus squamulosus,Galeus sauteri
,Dipturus apricus,Recently Described/Novel Species,Galeus schultzi
,Dipturus australis,,Galeus springeri
,Dipturus batis,,Ginglymostoma cirratum
,Dipturus bullisi,,Ginglymostoma unami
,Dipturus campbelli,,Glyphis fowlerae
,Dipturus canutus,,Glyphis gangeticus
,Dipturus cerva,,Glyphis garricki
,Dipturus confusus,,Glyphis glyphis
,Dipturus crosnieri,,Glyphis siamensis
,Dipturus doutrei,,Glyphis sp.1
,Dipturus ecuadoriensis,,Gogolia filewoodi
,Dipturus endeavouri,,Gollum attenuatus
,Dipturus falloargus,,Gollum suluensis
,Dipturus flavirostris,,Halaelurus boesemani
,Dipturus garricki,,Halaelurus buergeri
,Dipturus gigas,,Halaelurus lineatus
,Dipturus grahami,,Halaelurus maculosus
,Dipturus gudgeri,,Halaelurus natalensis
,Dipturus healdi,,Halaelurus quagga
,Dipturus innominatus,,Halaelurus sellus
,Dipturus intermedia,,Haploblepharus edwardsii
,Dipturus johannisdavesi,,Haploblepharus fuscus
,Dipturus kwangtungensis,,Haploblepharus kistnasamyi
,Dipturus laevis,,Haploblepharus pictus
,Dipturus lanceorostratus,,Hemigaleus australiensis
,Dipturus leptocaudus,,Hemigaleus microstoma
,Dipturus macrocauda,,Hemipristis elongata
,Dipturus melanospilus,,Hemiscyllium freycineti
,Dipturus mennii,,Hemiscyllium galei
,Dipturus nidarosiensis,,Hemiscyllium hallstromi
,Dipturus oculus,,Hemiscyllium halmahera
,Dipturus olseni,,Hemiscyllium henryi
,Dipturus oregoni,,Hemiscyllium michaeli
,Dipturus oxyrinchus,,Hemiscyllium ocellatum
,Dipturus polyommata,,Hemiscyllium strahani
,Dipturus pullopunctata,,Hemiscyllium trispeculare
,Dipturus queenslandicus,,Hemitriakis abdita
,Dipturus springeri,,Hemitriakis complicofasciata
,Dipturus stenorhynchus,,Hemitriakis falcata
,Dipturus teevani,,Hemitriakis indroyonoi
,Dipturus tengu,,Hemitriakis japanica
,Dipturus trachydermus,,Hemitriakis leucoperiptera
,Dipturus wengi,,Heterodontus francisci
,Dipturus wuhanlingi,,Heterodontus galeatus
,Discopyge castelloi,,Heterodontus japonicus
,Discopyge tschudii,,Heterodontus mexicanus
,Electrolux addisoni,,Heterodontus omanensis
,Fenestraja atripinna,,Heterodontus portusjacksoni
,Fenestraja cubensis,,Heterodontus quoyi
,Fenestraja ishiyamai,,Heterodontus ramalheira
,Fenestraja maceachrani,,Heterodontus zebra
,Fenestraja mamillidens,,Holohalaelurus favus
,Fenestraja plutonia,,Holohalaelurus grennian
,Fenestraja sibogae,,Holohalaelurus melanostigma
,Fenestraja sinusmexicanus,,Holohalaelurus punctatus
,Glaucostegus cemiculus,,Holohalaelurus regani
,Glaucostegus granulatus,,Hypogaleus hyugaensis
,Glaucostegus halavi,,Iago garricki
,Glaucostegus microphthalmus,,Iago omanensis
,Glaucostegus obtusus,,Isogomphodon oxyrhynchus
,Glaucostegus spinosus,,Isurus oxyrinchus
,Glaucostegus thouin,,Isurus paucus
,Glaucostegus typus,,Lamiopsis temminckii
,Gurgesiella atlantica,,Lamiopsis tephrodes
,Gurgesiella dorsalifera,,Lamna ditropis
,Gurgesiella furvescens,,Lamna nasus
,Gymnura afuerae,,Leptocharias smithii
,Gymnura altavela,,Loxodon macrorhinus
,Gymnura australis,,Megachasma pelagios
,Gymnura bimaculata,,Mitsukurina owstoni
,Gymnura crebripunctata,,Mustelus albipinnis
,Gymnura crooki,,Mustelus antarcticus
,Gymnura hirundo,,Mustelus asterias
,Gymnura japonica,,Mustelus californicus
,Gymnura marmorata,,Mustelus canis
,Gymnura micrura,,Mustelus dorsalis
,Gymnura natalensis,,Mustelus fasciatus
,Gymnura poecilura,,Mustelus griseus
,Gymnura tentaculata,,Mustelus henlei
,Gymnura zonura,,Mustelus higmani
,Heliotrygon gomesi,,Mustelus lenticulatus
,Heliotrygon rosai,,Mustelus lunulatus
,Hemitrygon longicauda,,Mustelus manazo
,Heteronarce bentuviai,,Mustelus mangalorensis
,Heteronarce garmani,,Mustelus mento
,Heteronarce mollis,,Mustelus minicanis
,Heteronarce prabhui,,Mustelus mosis
,Hexatrygon bickelli,,Mustelus mustelus
,Himantura astra,,Mustelus norrisi
,Himantura australis,,Mustelus palumbes
,Himantura dalyensis,,Mustelus punctulatus
,Himantura fai,,Mustelus ravidus
,Himantura gerrardi,,Mustelus schmitti
,Himantura granulata,,Mustelus sinusmexicanus
,Himantura hortlei,,Mustelus stevensi
,Himantura imbricata,,Mustelus walkeri
,Himantura jenkinsii,,Mustelus whitneyi
,Himantura kittipongi,,Mustelus widodoi
,Himantura leoparda,,Nasolamia velox
,Himantura lobistoma,,Nebrius ferrugineus
,Himantura marginata,,Negaprion acutidens
,Himantura oxyrhyncha,,Negaprion brevirostris
,Himantura pacifica,,Odontaspis ferox
,Himantura pastinacoides,,Odontaspis noronhai
,Himantura polylepis,,Orectolobus floridus
,Himantura randalli,,Orectolobus halei
,Himantura schmardae,,Orectolobus hutchinsi
,Himantura signifer,,Orectolobus japonicus
,Himantura toshi,,Orectolobus leptolineatus
,Himantura uarnacoides,,Orectolobus maculatus
,Himantura uarnak,,Orectolobus ornatus
,Himantura undulata,,Orectolobus parvimaculatus
,Himantura walga,,Orectolobus reticulatus
,Hongeo koreana,,Orectolobus wardi
,Hypnos monopterygius,,Paragaleus leucolomatus
,Insentiraja laxipella,,Paragaleus pectoralis
,Insentiraja subtilispinosa,,Paragaleus randalli
,Irolita waitii,,Paragaleus tengi
,Irolita westraliensis,,Parascyllium collare
,Leucoraja caribbaea,,Parascyllium elongatum
,Leucoraja circularis,,Parascyllium ferrugineum
,Leucoraja compagnoi,,Parascyllium sparsimaculatum
,Leucoraja erinacea,,Parascyllium variolatum
,Leucoraja fullonica,,Parmaturus albimarginatus
,Leucoraja garmani,,Parmaturus albipenis
,Leucoraja lentiginosa,,Parmaturus bigus
,Leucoraja leucosticta,,Parmaturus campechiensis
,Leucoraja melitensis,,Parmaturus lanatus
,Leucoraja naevus,,Parmaturus macmillani
,Leucoraja ocellata,,Parmaturus melanobranchus
,Leucoraja pristispina,,Parmaturus pilosus
,Leucoraja virginica,,Parmaturus sp.
,Leucoraja wallacei,,Parmaturus xaniurus
,Leucoraja yucatanensis,,Pentanchus profundicolus
,Maculabatis ambigua,,Planonasus parini
,Maculabatis arabica,,Poroderma africanum
,Maculabatis bineeshi,,Poroderma pantherinum
,Maculabatis macrura,,Prionace glauca
,Makararaja chindwinensis,,Proscyllium habereri
,Malacoraja kreffti,,Proscyllium magnificum
,Malacoraja obscura,,Proscyllium venustum
,Malacoraja senta,,Pseudocarcharias kamoharai
,Malacoraja spinacidermis,,Pseudoginglymostoma brevicaudatum
,Manta alfredi,,Pseudotriakis microdon
,Manta birostris,,Rhincodon typus
